Etapa/Ano,Eixo,Código,Objeto de Conhecimento,Habilidade (BNCC),Explicação Pedagógica,Atividade Proposta
Educação Infantil,Pensamento Computacional,EI03CO01,Reconhecimento de padrões,"Reconhecer padrão de repetição em sequências de sons, movimentos e desenhos.","O reconhecimento de padrões é a base do pensamento computacional. Na Educação Infantil essa habilidade é desenvolvida de forma lúdica, permitindo que a criança perceba regularidades no mundo ao redor — pré-requisito para compreender sequências e algoritmos.",JOGO DA SEQUÊNCIA: A professora bate palmas em um ritmo (ex.: palma-palma-pé) e pede às crianças que repitam e continuem. Depois registram o padrão com desenhos ou blocos coloridos.
Educação Infantil,Pensamento Computacional,EI03CO02,Expressão de etapas de uma tarefa,Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Expressar etapas em ordem corresponde à construção de algoritmos de forma desplugada. Ao narrar passos (ex.: 'primeiro lavo as mãos, depois pego o prato…'), a criança desenvolve lógica sequencial e linguagem estruturada.","RECEITA DA TURMA: As crianças escolhem uma tarefa simples (escovar os dentes) e, em grupo, desenham cada passo em cartões sequenciais, depois apresentam a 'receita' para os colegas."
Educação Infantil,Pensamento Computacional,EI03CO03,Execução de algoritmos com objetos,Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Executar algoritmos corporalmente ou com brinquedos ancora a abstração computacional na experiência concreta, respeitando o desenvolvimento cognitivo da infância. A criança 'vira' o computador ao seguir instruções passo a passo.","ROBÔ HUMANO: Uma criança faz o papel de robô e só pode se mover conforme as instruções dadas pela turma ('ande 2 passos, vire à direita'). Depois trocam de papel."
Educação Infantil,Pensamento Computacional,EI03CO04,Criação de algoritmos para resolver problemas,Criar e representar algoritmos para resolver problemas.,"Criar soluções algorítmicas estimula a autonomia e o pensamento crítico. Mesmo sem tecnologia, a criança aprende que todo problema pode ser decomposto em ações menores e organizadas.","MONTAGEM DE LABIRINTO: Com fita adesiva no chão, crianças criam labirintos simples e escrevem (em desenho) as instruções para um colega 'robô' atravessá-lo sem errar."
Educação Infantil,Pensamento Computacional,EI03CO05,Comparação de soluções algorítmicas,Comparar soluções algorítmicas para resolver um mesmo problema.,Comparar soluções desenvolve flexibilidade cognitiva e mostra que há múltiplos caminhos para um mesmo objetivo — habilidade essencial no design de software e na vida cotidiana.,DESAFIO DOS CAMINHOS: Diferentes grupos recebem o mesmo labirinto e criam soluções distintas. Depois comparam: qual usou menos passos? Qual foi mais fácil de entender? Debate coletivo.
Educação Infantil,Pensamento Computacional,EI03CO06,Decisões em dois estados,Compreender decisões em dois estados (verdadeiro ou falso).,"A lógica booleana (verdadeiro/falso) é o fundamento dos circuitos digitais e da programação. Introduzida de forma lúdica, prepara a criança para compreender condicionais e tomadas de decisão computacional.",JOGO 'É OU NÃO É?': A professora mostra objetos e faz afirmações ('este círculo é azul'). As crianças erguem cartão verde (verdadeiro) ou vermelho (falso).
Educação Infantil,Mundo Digital,EI03CO07,Reconhecimento de dispositivos eletrônicos,"Reconhecer dispositivos eletrônicos (e não eletrônicos), identificando quando estão ligados ou desligados.",Distinguir dispositivos eletrônicos de objetos comuns e entender estados (ligado/desligado) é o primeiro letramento digital — base para compreender interfaces e interação com máquinas.,"CAÇA AOS DISPOSITIVOS: Passeio pela escola para identificar e fotografar dispositivos eletrônicos. Em sala, classificam em 'ligado agora' / 'desligado agora' / 'não é eletrônico' em painel coletivo."
Educação Infantil,Mundo Digital,EI03CO08,Interfaces para comunicação,Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,"Interface é o meio de interação entre ser humano e máquina. Compreender que botões, telas e controles são formas de 'falar' com um dispositivo constrói intuição para uso responsável da tecnologia.","PAINEL DE BOTÕES: As crianças exploram controles remotos antigos, calculadoras e teclados desativados. Identificam botões e imaginam 'o que aconteceria se apertasse este?' Registro em desenho."
Educação Infantil,Mundo Digital,EI03CO09,Identificação de dispositivos computacionais,Identificar dispositivos computacionais e as diferentes formas de interação.,"Reconhecer a diversidade de dispositivos (tablet, computador, smartwatch, etc.) amplia o repertório digital e mostra que computação vai além do computador pessoal.","ÁLBUM DE TECNOLOGIAS: Cada criança recorta de revistas ou imprime imagens de dispositivos, cria um 'álbum da turma' e apresenta o dispositivo que conhece ou usa em casa."
Educação Infantil,Cultura Digital,EI03CO10,Uso seguro e consciente de tecnologia,"Utilizar tecnologia digital de maneira segura, consciente e respeitosa.","Desde a infância é fundamental construir hábitos de uso ético e seguro da tecnologia. Esta habilidade conecta computação à formação cidadã, prevenindo riscos digitais desde cedo.",COMBINADOS DIGITAIS: Roda de conversa sobre 'o que pode e o que não pode' ao usar tablet ou celular. As crianças constroem coletivamente um cartaz de combinados da turma com desenhos.
