Nome;INEP;Endereço;Telefone;Email;CNPJ;Diretor;Anexo;Endereço Anexo;Turnos;Etapas
CM SINHAZINHA CELINO;25071343;RUA FELIZARDO SEZEFREDO DE ALMEIDA;;;;;;;;
EMEF ANIS TIMANI;25074091;RUA LUIZ FERREIRA DA SILVA;;;;;;;;
CLINICA-ESCOLA DO AUTISMO-AFETO;25134353;RUA ANTONIO CAMPOS;;;;;;;;
CM MARIA CECI;25071297;R. GENERAL NEWTON ESTILAC LEAL;;;;;;;;
EMEF FREI DAGOBERTO STUCKER;25073648;RUA NEWTON ESTILAC LEAL;;;;;;;;
EMEF PROFA LUZIA DANTAS;25074938;RUA HENRIMAR CASTRO DE OLIVEIRA;;;;;;;;
EMEIF LUIS GOMES DA SILVA;25074580;RUA FRANKLIN ARAUJO;;;;;;;;
CM FOLCLORISTA LENIRA RITA GOMES;25131354;R. JOSÉ CURSINO DE SIQUEIRA;;;;;;;;
CM VER ANTONIO LUIZ CABRAL;25131400;R. VEREADOR ANTÔNIO ALVES PIMENTEL;;;;;;;;
CM VIRGILIA HENRIQUES DE OLIVEIRA CARLOS;25131346;R. RADIALISTA HILTON CARNEIRO MOTA;;;;;;;;
EMEF ESCRITORA LOURDES RAMALHO;25131338;DESEMBARGADOR MIGUEL LEVINO DE OLIVEIRA RAMOS;;;;;;;;
EMEF ROMULO JOSE DE GOUVEIA;25131370;RUA VER. ANTÔNIO ALVES PIMENTEL S/N - ALUÍZIO CAMPOS;;;;;;;;
CM MARIA EMILIA CORDEIRO PEDROSA;25208802;REFERENCIA HOSPITAL DA FAP - ARAXÁ;;;;;;;;
CM AUREA MOURA RIBEIRO;25119532;RUA GOIANIA;;;;;;;;
CM MARIA DE LOURDES CAVALCANTE;25130102;RUA IVALDO BARBOSA PESSOA;;;;;;;;
EMEF LUIZ CAMBEBA;25073729;RUA IGARAÇU;;;;;;;;
EMEIF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ;25120646;RUA GOIANIA;;;;;;;;
EMEIF ALMIRA DE OLIVEIRA;25074032;RUA RODRIGUES ALVES;;;;;;;;
EMEIF MARIA MINERVINA FIGUEIREDO;25074695;RUA CÔNEGO PEQUENO;;;;;;;;
CM FELIX ARAUJO;25071220;RUA PORTUGAL;;;;;;;;
EMEF PADRE ANTONINO;25073800;RUA CARLOS ALBERTO SOUZA;;;;;;;;
EMEIF CICERO VIRGINIO;25074199;RUA MANOEL MOTA;;;;;;;;
EMEIF MANOEL FRANCISCO DA MOTTA;25121677;RUA ANTONIO VIEIRA DA ROCHA;;;;;;;;
EMEIF PRESIDENTE KENNEDY;25074814;RUA FLORÍPEDES COUTINHO;;;;;;;;
EMEF DR WILLIAMS DE SOUZA ARRUDA;25117882;RUA DOUTOR PAULO ACACIO GALVAO;;;;;;;;
EMEIF ALICE GAUDENCIO;25073982;RUA JOSÉ GOMES DE FARIAS;;;;;;;;
EMEIF DR JOSE TAVARES;25073613;RUA JOSE GOMES DE FARIAS;;;;;;;;
CM TEREZA GIOIA;25071360;R. OTACILIO NEPOMUCENO;;;;;;;;
CM ZEFERINA GAUDENCIO;25071386;R. JOÃO PEQUENO;;;;;;;;
EMEF CEAI DR JOAO PEREIRA DE ASSIS;25108662;RUA MANOEL ALVES DE OLIVEIRA;;;;;;;;
EMEF LIONS PRATA;25074571;RUA JOAO QUIRINO;;;;;;;;
EMEIF CENTENARIO;25074172;RUA VIGARIO CALIXTO;;;;;;;;
EMEIF FELIX ARAUJO;25074326;RUA OTACILIO NEPOMUCENO;;;;;;;;
CM PROFA GITANA MARIA FIGUEIREDO LIRA;25132628;R. FELIZARDO SEVEFREDO DE ALMEIDA;;;;;;;;
EMEIF EPITACIO PESSOA;25074296;RUA OSWALDO CRUZ;;;;;;;;
EMEIF PROFA FRANCISCA ZENA BRASILEIRO;25073826;RUA OSWALDO CRUZ;;;;;;;;
CM LOURDES LOUREIRO;25071262;R. JOSÉ GONÇALVES DE LUCENA;;;;;;;;
CM MARINES ALMEIDA DA SILVA;25130145;RUA FLÁVIO ANTONIO AGRA RAMOS;;;;;;;;
EMEF PROFA SELMA AGRA VILARIM;25074920;RUA TRAVESSA AUGUSTO BORBOREMA;;;;;;;;
EMEIF CEAI GOV ANTONIO MARIZ;25070720;RUA MARCELINO PEREIRA DA ROCHA;;;;;;;;
EMEIF STELLITA CRUZ;25075020;RUA APRÍGIO NEPOMUCENO;;;;;;;;
CM GALDINA BARBOSA SILVEIRA;25115154;R. MÔNACO;;;;;;;;
EMEF SANTO ANTONIO 2;25075047;AV.PARIS.S/N-- BAIRRO: CUITÉS;;;;;;;;
EMEIF ALMIRANTE TAMANDARE;25076205;SITIO LOGRADOURO;;;;;;;;
EMEIF ANTONIO TELHA;25076213;SEDE DO DISTRITO DE CATOLE;;;;;;;;
EMEIF MANOEL JOAQUIM DE AGUIAR;25076230;SÍTIO QUEIMADA DA EMA;;;;;;;;
EMEIF NOSSA SRA DO PERPETUO SOCORRO;25076256;SÍTIO ESTREITO;;;;;;;;
EMEIF SEVERINO DIONISIO DO NASCIMENTO;25073907;SÍTIO SANTO IZIDRO;;;;;;;;
CM KARINE DA SILVA;25071246;RUA JOAO MIGUEL LEAO;;;;;;;;
CM VANEUZA RODRIGUES;25139207;R. LUCIANO SANTOS PEREIRA;;;;;;;;
CM ANA PAULA;25071173;R SEVERINO RODRIGUES DE ALBUQUERQUE;;;;;;;;
EMEIF AROLDO CRUZ FILHO;25074164;RUA SEVERINO RODRIGUES DE ALBUQUERQUE;;;;;;;;
CM NILA DUNDA;25071238;R. DA CHÃ;;;;;;;;
EMEF CAP SEVERIANO FABIO DA SILVA AMORIM;25076434;SÍTIO FAZENDA DESERTO;;;;;;;;
EMEF JOSE GOMES FILHO;25076515;SÍTIO MASSAPÊ;;;;;;;;
EMEF PROFA LAURA MENEZES DE AMORIM;25130633;RUA PRACA VER. GUMERCINDO DUNDA;;;;;;;;
EMEIF CICERO CORREIA DE MENESES;25076493;PARANÁ;;;;;;;;
EMEIF IRACEMA PIMENTEL;25076280;RUA MARIA DA COSTA AGRA;;;;;;;;
EMEIF JOSE ANTONIO RODRIGUES;25076442;SÍTIO BRITO;;;;;;;;
EMEIF MANOEL SABINO DE FARIAS;25074610;SÍTIO MARINHO ZONA RURAL 58.400-990;;;;;;;;
EMEIF MARIA DA LUZ;25073761;FAZENDA MARIA DA LUZ;;;;;;;;
EMEIF VER ANTONIO JOSE RODRIGUES;25076485;SITIO VARZEA DO ARROZ;;;;;;;;
CM GALBA FARIAS PIMENTEL;25121650;R. LUIS LEOPOLDINO DE ALBUQUERQUE;;;;;;;;
EMEIF GERIVALDO LUNA DE OLIVEIRA;25073656;RUA JOAO DOMINGOS DOS SANTOS;;;;;;;;
EMEIF POETA ALVARO GUEDES PINHEIRO;25074806;RUA JOSÉ FIRMINO DA SILVA;;;;;;;;
EMEIF DEZENOVE DE MARCO;25075462;RUA CLEMENTINO SIQUEIRA;;;;;;;;
CM BEATRIZ HAMAD GOMES;25071190;R. ANTÔNIO SOARES SILVA;;;;;;;;
EMEIF FERNANDO CUNHA LIMA;25073630;RUA PROBO CAMARA;;;;;;;;
EMEIF LUIZ JOAQUIM AVELINO;25073737;RUA ANTONIA BARBOSA DE LIMA;;;;;;;;
EMEIF PADRE EMIDIO VIANA CORREIA;25074792;RUA: MANOEL ALEXANDRINO ARAUJO;;;;;;;;
CM CELIA MARCIA SANTOS CIRNE;25129732;R. TOMÉ DE SOUZA;;;;;;;;
EMEIF DR CHATEAUBRIAND;25072552;RUA PROFª JOANA DARC FERREIRA DE ARRUDA;;;;;;;;
EMEIF GRACITA MELO;25074369;RUA CAMPOS SALES;;;;;;;;
EMEIF PROF JOSE DE ALMEIDA JUNIOR;25073958;RUA PARANÁ S/N;;;;;;;;
EMEF LUCIA DE FATIMA GAYOSO MEIRA;25073710;RUA NAPOLEAO LAUREANO;;;;;;;;
CM SORAYA MAGNOLIA;25071351;R. PERNANBUCO;;;;;;;;
EMEIF CASSIANO PASCOAL PEREIRA;25121669;RUA GETULIO CAVALCANTE;;;;;;;;
EMEIF LINDOLFO MONTENEGRO;25074563;AVENIDA JORNALISTA ASSIS CHATEAUBRIAND;;;;;;;;
CM ANITA CABRAL;25071181;R XIQUE-XIQUE;;;;;;;;
CM BERCARIO MARIA AMELIA;25071289;R PAU D'ARCOS;;;;;;;;
CM CARLA MEDEIROS;25111469;R JOÃO AMARO DE LIMA;;;;;;;;
CM LENISE MEDEIROS;25071254;AV. CAICÓ;;;;;;;;
CM SEVERINO CABRAL;25071335;R. JAMILA ABRAÃO JORGE;;;;;;;;
EMEF ADV OTAVIO AMORIM;25072170;FREI GERALDO;;;;;;;;
EMEIF LAFAYETE CAVALCANTE;25073699;RUA MAESTRO NESTOR GOMES SANTIAGO;;;;;;;;
CM ELZA ALMEIDA;25071211;RUA PROFESSOR HORTENCIO RIBEIRO;;;;;;;;
EMEF LILIOSA BARRETO;25074547;RUA MATO GROSSO;;;;;;;;
EMEIF ANESIO LEAO;25074075;RUA DEPUTADO JOSE GAUDENCIO;;;;;;;;
CM MARIA TEREZA NEPOMUCENO;25071319;R. JOÃO SUASSUNA;;;;;;;;
EMEIF DR SEVERINO CRUZ;25074288;RUA TOMAZ DE ARAUJO;;;;;;;;
EMEIF JOSE VIRGINIO DE LIMA;25074482;RUA OLEGÁRIO MACIEL;;;;;;;;
EMEIF SANTO AFONSO;25073885;"RUA;FRANCISCO ROSA DE FARIAS-BAIRRO: MONTE SANTO";;;;;;;;
CM VOVO ADALGISA CESAR DE ALMEIDA;25119540;R. RAFAELA SOUSA SILVA;;;;;;;;
EMEIF ANA AZEVEDO;25074059;VILA SANTA CRUZ;;;;;;;;
EMEIF MARIA CANDIDA DE OLIVEIRA;25074644;RUA DOUTOR ANTONIO BEZERRA CAMBOIM;;;;;;;;
EMEIF PROFA NELY DE LIMA E MELO;25074903;RUA MARIA GOMES DE MELO;;;;;;;;
EMEF PROF ANISIO TEIXEIRA;25074113;RUA JOSE LINS DO REGO;;;;;;;;
EMEF SANTO ANTONIO 1;25072889;RUA 15 DE NOVEMBRO;;;;;;;;
EMEIF HELENO HENRIQUES;25074393;RUA QUINZE DE NOVEMBRO;;;;;;;;
CM COTINHA CARVALHO;25071203;R. SÃO PEDRO;;;;;;;;
CM ISABELE BARBOSA DA SILVA;25141406;RUA SENADOR EPITÁCIO PESSOA CAVALCANTE;;;;;;;;
EMEIF DEP PETRONIO FIGUEREDO;25074245;RUA SAO SEBASTIAO;;;;;;;;
EMEIF ESTUDANTE LEONARDO VITORINO GUIMARAES;25150200;RUA PROFª LUIZA BARBOSA LEAL;;;;;;;;
